experiment_id,dataset,model,beta,corruption,severity,accuracy,mean_confidence,mean_entropy
cifar10_vib_beta_1em05,cifar10,vib,1e-05,salt_pepper,0.3,0.3523,0.6651635951042175,0.9853559028625488
cifar10_vib_beta_1em05,cifar10,vib,1e-05,salt_pepper,0.4,0.3072,0.6494387022018433,1.0236025592803955
cifar10_vib_beta_1em05,cifar10,vib,1e-05,blur,0.0,0.6959,0.7375197427749633,0.732922758769989
cifar10_vib_beta_1em05,cifar10,vib,1e-05,blur,0.1,0.5314,0.6158126504898072,1.0310147629737854
cifar10_vib_beta_1em05,cifar10,vib,1e-05,blur,0.2,0.5314,0.6158126504898072,1.0310147629737854
cifar10_vib_beta_1em05,cifar10,vib,1e-05,blur,0.3,0.3429,0.540718939781189,1.2042664923667907
cifar10_vib_beta_1em05,cifar10,vib,1e-05,blur,0.4,0.3429,0.540718939781189,1.2042664923667907
cifar10_vib_beta_1em05,cifar10,vib,1e-05,contrast,0.0,0.6959,0.7375197427749633,0.732922758769989
cifar10_vib_beta_1em05,cifar10,vib,1e-05,contrast,0.1,0.6868,0.7208996627807617,0.7813753950119019
cifar10_vib_beta_1em05,cifar10,vib,1e-05,contrast,0.2,0.6688,0.6983668557167053,0.8444416319847107
cifar10_vib_beta_1em05,cifar10,vib,1e-05,contrast,0.3,0.6324,0.6681455331802368,0.9267588066101075
cifar10_vib_beta_1em05,cifar10,vib,1e-05,contrast,0.4,0.5787,0.630838740825653,1.0247120849609375
cifar10_vib_beta_3em05,cifar10,vib,3e-05,gaussian,0.0,0.6885,0.7406892815589905,0.7291129875183106
cifar10_vib_beta_3em05,cifar10,vib,3e-05,gaussian,0.1,0.5228,0.6985232908248902,0.8665877103805542
cifar10_vib_beta_3em05,cifar10,vib,3e-05,gaussian,0.2,0.3446,0.6837384769439697,0.9384201253890991
cifar10_vib_beta_3em05,cifar10,vib,3e-05,gaussian,0.3,0.2495,0.6661862370491027,0.9561396605491638
cifar10_vib_beta_3em05,cifar10,vib,3e-05,gaussian,0.4,0.1994,0.6547063116073608,0.9470526164054871
cifar10_vib_beta_3em05,cifar10,vib,3e-05,salt_pepper,0.0,0.6885,0.7406892815589905,0.7291129875183106
cifar10_vib_beta_3em05,cifar10,vib,3e-05,salt_pepper,0.1,0.517,0.6874634490966797,0.8970427023887634
cifar10_vib_beta_3em05,cifar10,vib,3e-05,salt_pepper,0.2,0.3995,0.6807633596420288,0.9374705883026123
cifar10_vib_beta_3em05,cifar10,vib,3e-05,salt_pepper,0.3,0.3316,0.679997536945343,0.9464769626617432
cifar10_vib_beta_3em05,cifar10,vib,3e-05,salt_pepper,0.4,0.2854,0.6745718023300171,0.9558878681182862
cifar10_vib_beta_3em05,cifar10,vib,3e-05,blur,0.0,0.6885,0.7406892815589905,0.7291129875183106
cifar10_vib_beta_3em05,cifar10,vib,3e-05,blur,0.1,0.5282,0.6315141716003418,0.9956745338439942
cifar10_vib_beta_3em05,cifar10,vib,3e-05,blur,0.2,0.5282,0.6315141716003418,0.9956745338439942
cifar10_vib_beta_3em05,cifar10,vib,3e-05,blur,0.3,0.3409,0.5584394777297974,1.1720083585739136
cifar10_vib_beta_3em05,cifar10,vib,3e-05,blur,0.4,0.3409,0.5584394777297974,1.1720083585739136
cifar10_vib_beta_3em05,cifar10,vib,3e-05,contrast,0.0,0.6885,0.7406892815589905,0.7291129875183106
cifar10_vib_beta_3em05,cifar10,vib,3e-05,contrast,0.1,0.6831,0.7225125597000122,0.7812266166687012
cifar10_vib_beta_3em05,cifar10,vib,3e-05,contrast,0.2,0.66,0.6994545512199402,0.8463217348098755
cifar10_vib_beta_3em05,cifar10,vib,3e-05,contrast,0.3,0.6311,0.6695558003425598,0.9270286670684814
cifar10_vib_beta_3em05,cifar10,vib,3e-05,contrast,0.4,0.575,0.6329925507545471,1.0192630296707152
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,gaussian,0.0,0.7036,0.7466411354064941,0.7051426029205322
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,gaussian,0.1,0.5684,0.6907310680389405,0.8835656867027283
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,gaussian,0.2,0.3581,0.6448808809280395,1.017232502555847
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,gaussian,0.3,0.2389,0.6361558128356933,0.988848794746399
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,gaussian,0.4,0.1815,0.6568301292419434,0.9016985927581788
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,salt_pepper,0.0,0.7036,0.7466411354064941,0.7051426029205322
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,salt_pepper,0.1,0.5521,0.6839057476997376,0.9053178134918213
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,salt_pepper,0.2,0.4271,0.660786346244812,0.9831631834030151
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,salt_pepper,0.3,0.3457,0.6438262175559998,1.0214738954544067
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,salt_pepper,0.4,0.2887,0.630541386604309,1.0326366062164307
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,blur,0.0,0.7036,0.7466411354064941,0.7051426029205322
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,blur,0.1,0.5296,0.6356459650039673,0.9791290955543518
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,blur,0.2,0.5296,0.6356459650039673,0.9791290955543518
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,blur,0.3,0.3362,0.5616736878395081,1.145813183784485
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,blur,0.4,0.3362,0.5616736878395081,1.145813183784485
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,contrast,0.0,0.7036,0.7466411354064941,0.7051426029205322
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,contrast,0.1,0.6974,0.7303681211471558,0.7503293707847595
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,contrast,0.2,0.677,0.7084199861526489,0.8089582736015319
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,contrast,0.3,0.6403,0.6799120771408081,0.8850917862892151
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,contrast,0.4,0.5793,0.6440719659805297,0.9775452930450439
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,gaussian,0.0,0.6942,0.7447587290763855,0.7173900590896607
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,gaussian,0.1,0.5334,0.689232703590393,0.8911651591300964
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,gaussian,0.2,0.3494,0.6567101306915283,1.0237925716400147
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,gaussian,0.3,0.2499,0.6318981282234192,1.077129568862915
